,node_ID,highway,street_count,x,y,geometry
1704,4723291242,,3,34.8835648,-19.8466242,POINT (34.8835648 -19.8466242)
1705,4723291243,,4,34.8837288,-19.8471111,POINT (34.8837288 -19.8471111)
1706,4723291244,,3,34.8846893,-19.8462994,POINT (34.8846893 -19.8462994)
1707,4723291245,,3,34.8858265,-19.845982,POINT (34.8858265 -19.845982)
1708,4723291246,,4,34.8745739,-19.8466924,POINT (34.8745739 -19.8466924)
1709,4723291257,,4,34.8802279,-19.844976,POINT (34.8802279 -19.844976)
1710,4723291258,,3,34.8779756,-19.8466197,POINT (34.8779756 -19.8466197)
1711,4723291259,,4,34.8803157,-19.8452471,POINT (34.8803157 -19.8452471)
1712,4723291279,,3,34.8747778,-19.8471609,POINT (34.8747778 -19.8471609)
1713,4723293870,,3,34.8898817,-19.8487327,POINT (34.8898817 -19.8487327)
1714,4723293872,,3,34.8903736,-19.8475309,POINT (34.8903736 -19.8475309)
1715,4723293873,,3,34.88959,-19.8477736,POINT (34.88959 -19.8477736)
1716,4723303139,,1,34.8877167,-19.8383355,POINT (34.8877167 -19.8383355)
1717,4723303145,,1,34.8866224,-19.8389069,POINT (34.8866224 -19.8389069)
1718,4723303146,,3,34.8845503,-19.8382177,POINT (34.8845503 -19.8382177)
1719,4723303147,,4,34.8847986,-19.8378464,POINT (34.8847986 -19.8378464)
1720,4723303148,,3,34.875915,-19.837054,POINT (34.875915 -19.837054)
1721,4723303152,,3,34.8815613,-19.8386492,POINT (34.8815613 -19.8386492)
1722,4723303153,,3,34.8913802,-19.843623,POINT (34.8913802 -19.843623)
1723,4723303154,,3,34.8732251,-19.8491571,POINT (34.8732251 -19.8491571)
1724,4723303156,,3,34.8726606,-19.8492844,POINT (34.8726606 -19.8492844)
1725,4723303157,,3,34.8737227,-19.8490106,POINT (34.8737227 -19.8490106)
1726,4723303158,,3,34.8731843,-19.8490159,POINT (34.8731843 -19.8490159)
1727,4723303159,,3,34.8727062,-19.849019,POINT (34.8727062 -19.849019)
1728,4723303162,,3,34.8824908,-19.8487819,POINT (34.8824908 -19.8487819)
1729,4723303167,,3,34.8828301,-19.8488298,POINT (34.8828301 -19.8488298)
1730,4723303168,,3,34.8841812,-19.8484437,POINT (34.8841812 -19.8484437)
1731,4723303169,,3,34.8855349,-19.8489513,POINT (34.8855349 -19.8489513)
1732,4723303170,,3,34.8868502,-19.8474931,POINT (34.8868502 -19.8474931)
1733,4723303171,,3,34.8867538,-19.847767,POINT (34.8867538 -19.847767)
1734,4723403104,,3,34.8395846,-19.8021936,POINT (34.8395846 -19.8021936)
1735,4723403107,,3,34.8395931,-19.8019292,POINT (34.8395931 -19.8019292)
1736,4723403110,,3,34.8398742,-19.8019372,POINT (34.8398742 -19.8019372)
1737,4723403113,,3,34.8398657,-19.8022017,POINT (34.8398657 -19.8022017)
1738,4723403118,,3,34.848671,-19.8077935,POINT (34.848671 -19.8077935)
1739,4724443644,,3,34.8469586,-19.8218422,POINT (34.8469586 -19.8218422)
1740,4724443647,,3,34.8470049,-19.8215983,POINT (34.8470049 -19.8215983)
1741,4724443648,,3,34.8612155,-19.8058979,POINT (34.8612155 -19.8058979)
1742,4724443649,,3,34.8572499,-19.8033808,POINT (34.8572499 -19.8033808)
1743,4724443650,,1,34.8574045,-19.7984144,POINT (34.8574045 -19.7984144)
1744,4724443654,,3,34.8590409,-19.8007726,POINT (34.8590409 -19.8007726)
1745,4724443655,,3,34.8672683,-19.7906704,POINT (34.8672683 -19.7906704)
1746,4724443656,,3,34.866247,-19.7900268,POINT (34.866247 -19.7900268)
1747,4724443658,,1,34.8547169,-19.8040282,POINT (34.8547169 -19.8040282)
1748,4724443659,,3,34.8562465,-19.8048998,POINT (34.8562465 -19.8048998)
1749,4724443660,,3,34.867631,-19.7878614,POINT (34.867631 -19.7878614)
1750,4724457403,,1,34.8617704,-19.8036094,POINT (34.8617704 -19.8036094)
1751,4724457405,,3,34.8625364,-19.8041033,POINT (34.8625364 -19.8041033)
1752,4724457407,,3,34.8557289,-19.8056449,POINT (34.8557289 -19.8056449)
1753,4724457419,,3,34.8658994,-19.7996911,POINT (34.8658994 -19.7996911)
1754,4724457433,,3,34.8578177,-19.7855391,POINT (34.8578177 -19.7855391)
1755,4724477520,,1,34.8767228,-19.7890236,POINT (34.8767228 -19.7890236)
1756,4724477523,,3,34.875049,-19.7872973,POINT (34.875049 -19.7872973)
1757,4724477525,,1,34.8891602,-19.7957708,POINT (34.8891602 -19.7957708)
1758,4724478452,,1,34.8713376,-19.7894057,POINT (34.8713376 -19.7894057)
1759,4724478457,,3,34.8726566,-19.7903326,POINT (34.8726566 -19.7903326)
1760,4724490781,,3,34.8849748,-19.7917182,POINT (34.8849748 -19.7917182)
1761,4724490782,,4,34.8935599,-19.8004072,POINT (34.8935599 -19.8004072)
1762,4724608000,,1,34.8945688,-19.8298485,POINT (34.8945688 -19.8298485)
1763,4724608001,,3,34.8937253,-19.8294372,POINT (34.8937253 -19.8294372)
1764,4724608006,,3,34.8913634,-19.8285602,POINT (34.8913634 -19.8285602)
1765,4724608008,,3,34.8919116,-19.8257934,POINT (34.8919116 -19.8257934)
1766,4724608020,,3,34.8725258,-19.8216599,POINT (34.8725258 -19.8216599)
1767,4724608022,,3,34.8706536,-19.8149687,POINT (34.8706536 -19.8149687)
1768,4724724465,,3,34.8440256,-19.8287435,POINT (34.8440256 -19.8287435)
1769,4724724466,,3,34.8385768,-19.8277195,POINT (34.8385768 -19.8277195)
1770,4724724469,,3,34.8383677,-19.8279746,POINT (34.8383677 -19.8279746)
1771,4724724795,,3,34.8364549,-19.8132626,POINT (34.8364549 -19.8132626)
1772,4724724796,,3,34.8354769,-19.8134763,POINT (34.8354769 -19.8134763)
1773,4724724799,,3,34.8354509,-19.8168398,POINT (34.8354509 -19.8168398)
1774,4813707794,,3,34.8453256,-19.8427139,POINT (34.8453256 -19.8427139)
1775,4813707795,,3,34.8453947,-19.8426768,POINT (34.8453947 -19.8426768)
1776,4813707801,,3,34.8462754,-19.8431986,POINT (34.8462754 -19.8431986)
1777,4813707802,,3,34.8462742,-19.8432802,POINT (34.8462742 -19.8432802)
1778,4813707803,,1,34.8393534,-19.8409539,POINT (34.8393534 -19.8409539)
1779,4813748735,,3,34.8323542,-19.8374451,POINT (34.8323542 -19.8374451)
1780,4813748736,,3,34.8324769,-19.8377349,POINT (34.8324769 -19.8377349)
1781,4813748744,,3,34.831889,-19.8379136,POINT (34.831889 -19.8379136)
1782,4813778915,,3,34.8482761,-19.8324542,POINT (34.8482761 -19.8324542)
