,stnode,endnode,osmid,oneway,ref,tunnel,maxspeed,lanes,length,service,bridge,highway,junction,access,name,geometry
8767,5653957968,5639562114,204096428,False,,,,,157.546,,,tertiary,,,Rua Alfredo Lawley,"LINESTRING (34.8701653 -19.8335152, 34.8714409 -19.8342686)"
8768,5653957968,6408421547,592390953,False,,,,,90.49300000000001,,,residential,,,,"LINESTRING (34.8701653 -19.8335152, 34.8698021 -19.8341665, 34.8697556 -19.8342315)"
8769,5653993101,3328285373,326208108,False,,,,,181.095,,,residential,,,,"LINESTRING (34.8879007 -19.788469, 34.888017 -19.7883708, 34.888182 -19.7882118, 34.8883402 -19.7880452, 34.8887452 -19.7876584, 34.8890946 -19.7872911)"
8770,5653993101,6355066129,326208108,False,,,,,76.959,,,residential,,,,"LINESTRING (34.8879007 -19.788469, 34.8877716 -19.7885948, 34.8875774 -19.7888, 34.8873995 -19.7889754)"
8771,5653993101,5653993119,592394833,False,,,,,147.75000000000003,,,residential,,,,"LINESTRING (34.8879007 -19.788469, 34.8878192 -19.7883235, 34.8877937 -19.788266, 34.8877756 -19.788191, 34.8877609 -19.7880925, 34.8877783 -19.7879121, 34.8877847 -19.7877067, 34.8877797 -19.7876203, 34.8877693 -19.787537, 34.8877615 -19.7874673, 34.8877585 -19.7873777, 34.8877605 -19.787354, 34.8877703 -19.7873385, 34.8878025 -19.7873108, 34.8879017 -19.7872262)"
8772,5653993115,5653993119,592394834,False,,,,,62.108,,,residential,,,,"LINESTRING (34.8883912 -19.7869537, 34.8883201 -19.7870552, 34.8882879 -19.7870773, 34.8882591 -19.7870918, 34.8879366 -19.7872338, 34.8879017 -19.7872262)"
8773,5653993119,5653993101,592394833,False,,,,,147.75,,,residential,,,,"LINESTRING (34.8879017 -19.7872262, 34.8878025 -19.7873108, 34.8877703 -19.7873385, 34.8877605 -19.787354, 34.8877585 -19.7873777, 34.8877615 -19.7874673, 34.8877693 -19.787537, 34.8877797 -19.7876203, 34.8877847 -19.7877067, 34.8877783 -19.7879121, 34.8877609 -19.7880925, 34.8877756 -19.788191, 34.8877937 -19.788266, 34.8878192 -19.7883235, 34.8879007 -19.788469)"
8774,5653993119,5653993115,592394834,False,,,,,62.108000000000004,,,residential,,,,"LINESTRING (34.8879017 -19.7872262, 34.8879366 -19.7872338, 34.8882591 -19.7870918, 34.8882879 -19.7870773, 34.8883201 -19.7870552, 34.8883912 -19.7869537)"
8775,5653993119,5653993922,592394834,False,,,,,102.663,,,residential,,,,"LINESTRING (34.8879017 -19.7872262, 34.8878903 -19.7872029, 34.8878883 -19.7871808, 34.8879527 -19.7868918, 34.888063 -19.786321)"
8776,5653993922,3888724969,407381863,False,,,,,119.055,,,residential,,,,"LINESTRING (34.888063 -19.786321, 34.8888825 -19.7870638)"
8777,5653993922,3888724959,407381863,False,,,,,65.667,,,residential,,,,"LINESTRING (34.888063 -19.786321, 34.8878171 -19.7861177, 34.887605 -19.7859177)"
8778,5653993922,5653993119,592394834,False,,,,,102.663,,,residential,,,,"LINESTRING (34.888063 -19.786321, 34.8879527 -19.7868918, 34.8878883 -19.7871808, 34.8878903 -19.7872029, 34.8879017 -19.7872262)"
